Year,College Code,College Desc,Major Code,Major Desc,Count
2013,HS,College of Health & Applied Science,HCM,Health Care Management,294
2013,HS,College of Health & Applied Science,HIS,History,1
2013,HS,College of Health & Applied Science,HMT,"Hospitality, Meeting & Tvl Adm",4
2013,HS,College of Health & Applied Science,HND,Human Nutrition - Dietetics,489
2013,HS,College of Health & Applied Science,HPS,Human Performance & Sport,662
2013,HS,College of Health & Applied Science,HSP,Human Services,489
2013,HS,College of Health & Applied Science,HTE,"Hospitality, Tourism & Events",708
2013,HS,College of Health & Applied Science,IDP,Individualized Degree Program,79
2013,HS,College of Health & Applied Science,IND,Industrial Design,251
2013,HS,College of Health & Applied Science,ITP,Integrative Therapeutic Pract,187
2013,LA,"College of Letters, Arts, & Sciences",JRN,Journalism,341
2013,ED,School of Education,LECE,Licensure-Early Childhood Educ,11
2013,ED,School of Education,LEDS,Licensure-Secondary Education,67
2013,ED,School of Education,LEED,Licensure-Elementary Education,48
2013,ED,School of Education,LK12,Licensure-K-12 Education,22
2013,ED,School of Education,LSPL,Licensure-Special Education,9
2013,ED,School of Education,LTIR,Licensure-Teacher in Residence,85
2013,ED,School of Education,LTLG,Licensure-General Teacher Lic,32
2013,HS,College of Health & Applied Science,MDL,Modern Languages,1
2013,HS,College of Health & Applied Science,MET,Mechanical Engineering Tech,350
2013,HS,College of Health & Applied Science,MGT,Management,2
2013,HS,College of Health & Applied Science,NUR,Nursing,201
2013,HS,College of Health & Applied Science,PSY,Psychology,3
2013,HS,College of Health & Applied Science,RECR,Recreation Professions,91
2013,HS,College of Health & Applied Science,SED,Special Education,161
2013,HS,College of Health & Applied Science,SUM,Surveying & Mapping,1
2013,HS,College of Health & Applied Science,TCM,Technical Communications,161
2013,HS,College of Health & Applied Science,TLC,Pre-Early Childhood Education,1
2013,HS,College of Health & Applied Science,TLE,Pre-Elementary Education,9
2013,HS,College of Health & Applied Science,TLK,Pre-K-12 Education,4
2013,HS,College of Health & Applied Science,TLS,Pre-Secondary Education,17
2013,HS,College of Health & Applied Science,UND,Undeclared,1
2013,HS,College of Health & Applied Science,UNED,"Education, Undeclared",2
2013,HS,College of Health & Applied Science,UNN,Undeclared Nursing Interest,409
2014,0,No College Designated,0,Non-Degree Seeking,232
2014,BU,College of Business,ACC,Accounting,777
2014,BU,College of Business,CAC,Certificate-Accounting,2
2014,BU,College of Business,CIN,Computer Information Systems,429
2014,BU,College of Business,ECO,Economics,136
2014,BU,College of Business,FIN,Finance,379
2014,BU,College of Business,IDP,Individualized Degree Program,15
2014,BU,College of Business,MGT,Management,1056
2014,BU,College of Business,MKT,Marketing,635
2014,ED,School of Education,ELCE,Early Childhood Education,6
2014,ED,School of Education,LECE,Licensure-Early Childhood Educ,13
2014,ED,School of Education,LEDS,Licensure-Secondary Education,43
2014,ED,School of Education,LEED,Licensure-Elementary Education,25
2014,ED,School of Education,LK12,Licensure-K-12 Education,12
2014,ED,School of Education,LSPL,Licensure-Special Education,8
2014,ED,School of Education,LTIR,Licensure-Teacher in Residence,55
2014,ED,School of Education,SED,Special Education,40
2014,LA,"College of Letters, Arts, & Sciences",AAS,African American Studies,9
2014,LA,"College of Letters, Arts, & Sciences",AFS,Africana Studies,6
2014,LA,"College of Letters, Arts, & Sciences",ANT,Anthropology,113
2014,LA,"College of Letters, Arts, & Sciences",ART,Art,746
2014,LA,"College of Letters, Arts, & Sciences",ARTH,"ArtHistory,Theory&Criticism",30
2014,LA,"College of Letters, Arts, & Sciences",BCHM,Biochemistry,11
2014,LA,"College of Letters, Arts, & Sciences",BHS,Behavioral Science,150
2014,LA,"College of Letters, Arts, & Sciences",BIO,Biology,1285
2014,LA,"College of Letters, Arts, & Sciences",CDES,Communication Design,21
2014,LA,"College of Letters, Arts, & Sciences",CHE,Chemistry,277
2014,LA,"College of Letters, Arts, & Sciences",CHS,Chicano Studies,14
2014,HS,College of Health & Applied Science,CS,Computer Science,309
2014,HS,College of Health & Applied Science,CSI,Computer Science,201
2014,LA,"College of Letters, Arts, & Sciences",ENG,English,527
2014,LA,"College of Letters, Arts, & Sciences",ENV,Environmental Science,309
2014,LA,"College of Letters, Arts, & Sciences",HDV,Human Development,482
2014,LA,"College of Letters, Arts, & Sciences",HIS,History,430
2014,LA,"College of Letters, Arts, & Sciences",IDP,Individualized Degree Program,161
2014,LA,"College of Letters, Arts, & Sciences",JRN,Journalism,1
2014,LA,"College of Letters, Arts, & Sciences",LIN,Linguistics,51
2014,LA,"College of Letters, Arts, & Sciences",LUS,Land Use,133
2014,LA,"College of Letters, Arts, & Sciences",MDL,Modern Languages,166
2014,LA,"College of Letters, Arts, & Sciences",MED,Music Education,100
2014,LA,"College of Letters, Arts, & Sciences",MTH,Mathematics,232
2014,LA,"College of Letters, Arts, & Sciences",MTR,Meteorology,58
2014,LA,"College of Letters, Arts, & Sciences",MUS,Music,255
2014,LA,"College of Letters, Arts, & Sciences",PHI,Philosophy,69
2014,LA,"College of Letters, Arts, & Sciences",PHY,Physics,82
2014,LA,"College of Letters, Arts, & Sciences",PSC,Political Science,196
2014,LA,"College of Letters, Arts, & Sciences",PSY,Psychology,1031
2014,LA,"College of Letters, Arts, & Sciences",SLH,Speech Lang & Hearing Science,108
2014,LA,"College of Letters, Arts, & Sciences",SOC,Sociology,121
2014,LA,"College of Letters, Arts, & Sciences",SPC,Speech Communication,279
2014,LA,"College of Letters, Arts, & Sciences",SWK,Social Work,331
2014,LA,"College of Letters, Arts, & Sciences",THE,Theatre,144
2014,LA,"College of Letters, Arts, & Sciences",UND,Undeclared,1562
2014,LA,"College of Letters, Arts, & Sciences",WMS,Women's Studies,32
2014,HS,College of Health & Applied Science,AAM,Aviation & Aerospace Mgt,61
2014,HS,College of Health & Applied Science,AMG,Aviation Management,27
2014,HS,College of Health & Applied Science,ASC,Aviation and Aerospace Science,169
2014,HS,College of Health & Applied Science,ATH,Athletic Training,189
2014,HS,College of Health & Applied Science,ATV,Aviation Technology,181
2014,HS,College of Health & Applied Science,CET,Civil Engineering Technology,209
2014,HS,College of Health & Applied Science,CJC,Criminal Justice & Criminology,1048
2014,HS,College of Health & Applied Science,EET,Electrical Engineering Tech,252
2014,ED,School of Education,ELCE,Early Childhood Education,42
2014,HS,College of Health & Applied Science,HCM,Health Care Management,281
2014,HS,College of Health & Applied Science,HMT,"Hospitality, Meeting & Tvl Adm",3
2014,HS,College of Health & Applied Science,HND,Human Nutrition - Dietetics,486
2014,HS,College of Health & Applied Science,HPS,Human Performance & Sport,624
2014,HS,College of Health & Applied Science,HSP,Human Services,480
2014,HS,College of Health & Applied Science,HTE,"Hospitality, Tourism & Events",665
2014,HS,College of Health & Applied Science,IDP,Individualized Degree Program,76
2014,HS,College of Health & Applied Science,IHC,Integrative Health Care,33
2014,HS,College of Health & Applied Science,IND,Industrial Design,235
2014,HS,College of Health & Applied Science,ITP,Integrative Therapeutic Pract,170
2014,LA,"College of Letters, Arts, & Sciences",JRN,Journalism,341
2014,ED,School of Education,LECE,Licensure-Early Childhood Educ,7
2014,ED,School of Education,LEDS,Licensure-Secondary Education,41
2014,ED,School of Education,LEED,Licensure-Elementary Education,22
2014,ED,School of Education,LK12,Licensure-K-12 Education,12
2014,ED,School of Education,LSPL,Licensure-Special Education,3
2014,ED,School of Education,LTIR,Licensure-Teacher in Residence,84
2014,ED,School of Education,LTLG,Licensure-General Teacher Lic,19
2014,HS,College of Health & Applied Science,MET,Mechanical Engineering Tech,349
2014,HS,College of Health & Applied Science,NUR,Nursing,244
2014,HS,College of Health & Applied Science,RECR,Recreation Professions,90
2014,HS,College of Health & Applied Science,SED,Special Education,125
2014,HS,College of Health & Applied Science,TCM,Technical Communications,154
2014,HS,College of Health & Applied Science,TLC,Pre-Early Childhood Education,4
2014,HS,College of Health & Applied Science,TLE,Pre-Elementary Education,3
2014,HS,College of Health & Applied Science,TLK,Pre-K-12 Education,6
2014,HS,College of Health & Applied Science,TLP,Pre-Special Education,2
2014,HS,College of Health & Applied Science,TLS,Pre-Secondary Education,13
2014,HS,College of Health & Applied Science,UND,Undeclared,2
2014,HS,College of Health & Applied Science,UNED,"Education, Undeclared",7
2014,HS,College of Health & Applied Science,UNN,Undeclared Nursing Interest,539
2015,0,No College Designated,0,Non-Degree Seeking,246
2015,BU,College of Business,ACC,Accounting,746
2015,BU,College of Business,CIN,Computer Information Systems,455
2015,BU,College of Business,ECO,Economics,161
2015,BU,College of Business,FIN,Finance,368
2015,BU,College of Business,IDP,Individualized Degree Program,28
2015,BU,College of Business,MGT,Management,1013
2015,BU,College of Business,MKT,Marketing,627
2015,ED,School of Education,EDU,Elementary Education,88
2015,ED,School of Education,ELCE,Early Childhood Education,155
2015,ED,School of Education,IDP,Individualized Degree Program,2
2015,ED,School of Education,LECE,Licensure-Early Childhood Educ,13
2015,ED,School of Education,LEDS,Licensure-Secondary Education,61
2015,ED,School of Education,LEED,Licensure-Elementary Education,42
2015,ED,School of Education,LK12,Licensure-K-12 Education,20
2015,ED,School of Education,LSPL,Licensure-Special Education,5
2015,ED,School of Education,LTIR,Licensure-Teacher in Residence,124
2015,ED,School of Education,LTLG,Licensure-General Teacher Lic,5
2015,ED,School of Education,SED,Special Education,156
2015,ED,School of Education,TLC,Pre-Early Childhood Education,2
2015,ED,School of Education,TLE,Pre-Elementary Education,3
2015,ED,School of Education,TLK,Pre-K-12 Education,9
2015,ED,School of Education,TLP,Pre-Special Education,1
2015,ED,School of Education,TLS,Pre-Secondary Education,7
2015,ED,School of Education,UNED,"Education, Undeclared",50
2015,LA,"College of Letters, Arts, & Sciences",AAS,African American Studies,9
2015,LA,"College of Letters, Arts, & Sciences",AFS,Africana Studies,12
2015,LA,"College of Letters, Arts, & Sciences",ANT,Anthropology,93
2015,LA,"College of Letters, Arts, & Sciences",ART,Art,603
2015,LA,"College of Letters, Arts, & Sciences",ARTH,"ArtHistory,Theory&Criticism",32
2015,LA,"College of Letters, Arts, & Sciences",BCHM,Biochemistry,84
2015,LA,"College of Letters, Arts, & Sciences",BHS,Behavioral Science,71
2015,LA,"College of Letters, Arts, & Sciences",BIO,Biology,1213
2015,LA,"College of Letters, Arts, & Sciences",CDES,Communication Design,54
2015,LA,"College of Letters, Arts, & Sciences",CHE,Chemistry,231
2015,LA,"College of Letters, Arts, & Sciences",CHS,Chicano Studies,18
2015,HS,College of Health & Applied Science,CS,Computer Science,409
2015,HS,College of Health & Applied Science,CSI,Computer Science,115
2015,LA,"College of Letters, Arts, & Sciences",ENG,English,485
2015,LA,"College of Letters, Arts, & Sciences",ENV,Environmental Science,283
2015,LA,"College of Letters, Arts, & Sciences",HDV,Human Development,374
2015,LA,"College of Letters, Arts, & Sciences",HIS,History,383
2015,LA,"College of Letters, Arts, & Sciences",IDP,Individualized Degree Program,170
2015,LA,"College of Letters, Arts, & Sciences",LIN,Linguistics,52
2015,LA,"College of Letters, Arts, & Sciences",LUS,Land Use,128
2015,LA,"College of Letters, Arts, & Sciences",MDL,Modern Languages,128
2015,LA,"College of Letters, Arts, & Sciences",MED,Music Education,92
2015,LA,"College of Letters, Arts, & Sciences",MTH,Mathematics,224
2015,LA,"College of Letters, Arts, & Sciences",MTR,Meteorology,54
2015,LA,"College of Letters, Arts, & Sciences",MUS,Music,207
2015,LA,"College of Letters, Arts, & Sciences",PHI,Philosophy,50
2015,LA,"College of Letters, Arts, & Sciences",PHY,Physics,83
2015,LA,"College of Letters, Arts, & Sciences",PSC,Political Science,195
2015,LA,"College of Letters, Arts, & Sciences",PSY,Psychology,1026
2015,LA,"College of Letters, Arts, & Sciences",SLH,Speech Lang & Hearing Science,134
2015,LA,"College of Letters, Arts, & Sciences",SOC,Sociology,122
2015,LA,"College of Letters, Arts, & Sciences",SPC,Speech Communication,240
2015,LA,"College of Letters, Arts, & Sciences",SWK,Social Work,325
2015,LA,"College of Letters, Arts, & Sciences",THE,Theatre,132
2015,LA,"College of Letters, Arts, & Sciences",UND,Undeclared,1210
2015,LA,"College of Letters, Arts, & Sciences",WMS,Women's Studies,31
2015,HS,College of Health & Applied Science,AAM,Aviation & Aerospace Mgt,85
2015,HS,College of Health & Applied Science,AMG,Aviation Management,20
2015,HS,College of Health & Applied Science,ASC,Aviation and Aerospace Science,258
2015,HS,College of Health & Applied Science,ATH,Athletic Training,192
2015,HS,College of Health & Applied Science,ATV,Aviation Technology,103
2015,HS,College of Health & Applied Science,CET,Civil Engineering Technology,188
2015,HS,College of Health & Applied Science,CJC,Criminal Justice & Criminology,997
2015,HS,College of Health & Applied Science,EET,Electrical Engineering Tech,238
2015,HS,College of Health & Applied Science,HCM,Health Care Management,270
2015,HS,College of Health & Applied Science,HMT,"Hospitality, Meeting & Tvl Adm",1
2015,HS,College of Health & Applied Science,HND,Human Nutrition - Dietetics,460
2015,HS,College of Health & Applied Science,HPS,Human Performance & Sport,588
2015,HS,College of Health & Applied Science,HSP,Human Services,403
2015,HS,College of Health & Applied Science,HTE,"Hospitality, Tourism & Events",586
2015,HS,College of Health & Applied Science,IDP,Individualized Degree Program,172
2015,HS,College of Health & Applied Science,IHC,Integrative Health Care,85
2015,HS,College of Health & Applied Science,IND,Industrial Design,226
2015,HS,College of Health & Applied Science,ITP,Integrative Therapeutic Pract,118
2015,LA,"College of Letters, Arts, & Sciences",JRN,Journalism,289
2015,HS,College of Health & Applied Science,MET,Mechanical Engineering Tech,342
2015,HS,College of Health & Applied Science,NUR,Nursing,257
2015,HS,College of Health & Applied Science,RECR,Recreation Professions,103
2015,HS,College of Health & Applied Science,SED,Special Education,2
2015,HS,College of Health & Applied Science,TCM,Technical Communications,146
2015,HS,College of Health & Applied Science,UNN,Undeclared Nursing Interest,595
2015,HS,College of Health & Applied Science,WMS,Women's Studies,1
2016,0,No College Designated,0,Non-Degree Seeking,310
2016,BU,College of Business,ACC,Accounting,677
2016,BU,College of Business,CAC,Certificate-Accounting,1
2016,BU,College of Business,CEP,Certificate-Entrepreneurship,2
2016,BU,College of Business,CFP,Certificate-Persnl Fin Planng,1
2016,BU,College of Business,CIN,Computer Information Systems,446
2016,BU,College of Business,ECO,Economics,131
2016,BU,College of Business,ENT,Entrepreneurship,10
2016,BU,College of Business,FIN,Finance,372
2016,BU,College of Business,GBS,Global Business Studies,2
2016,BU,College of Business,IBM,International Business,5
2016,BU,College of Business,IDP,Individualized Degree Program,39
2016,BU,College of Business,MGT,Management,965
2016,BU,College of Business,MKT,Marketing,627
2016,BU,College of Business,PACC,Prep Master Accounting,7
2016,BU,College of Business,PCEP,PCert-Entrepreneurship,1
2016,ED,School of Education,EDPB,SOE Applicant-Post-bac,27
2016,ED,School of Education,EDU,Elementary Education,216
2016,ED,School of Education,ELCE,Early Childhood Education,170
2016,ED,School of Education,IDP,Individualized Degree Program,8
2016,ED,School of Education,LECE,Licensure-Early Childhood Educ,7
2016,ED,School of Education,LEDS,Licensure-Secondary Education,47
2016,ED,School of Education,LEED,Licensure-Elementary Education,36
2016,ED,School of Education,LK12,Licensure-K-12 Education,25
2016,ED,School of Education,LSPL,Licensure-Special Education,7
2016,ED,School of Education,LTIR,Licensure-Teacher in Residence,99
2016,ED,School of Education,LTLG,Licensure-General Teacher Lic,1
2016,ED,School of Education,PTED,Prep Master Teacher Ed,11
2016,ED,School of Education,SED,Special Education,150
2016,ED,School of Education,TLC,Pre-Early Childhood Education,2
2016,ED,School of Education,TLK,Pre-K-12 Education,8
2016,ED,School of Education,TLP,Pre-Special Education,1
2016,ED,School of Education,TLS,Pre-Secondary Education,6
2016,ED,School of Education,UNED,"Education, Undeclared",68
2016,LA,"College of Letters, Arts, & Sciences",AAS,African American Studies,7
2016,LA,"College of Letters, Arts, & Sciences",AFS,Africana Studies,14
2016,LA,"College of Letters, Arts, & Sciences",ANT,Anthropology,102
2016,LA,"College of Letters, Arts, & Sciences",ART,Art,570
2016,LA,"College of Letters, Arts, & Sciences",ARTH,"ArtHistory,Theory&Criticism",30
2016,LA,"College of Letters, Arts, & Sciences",BCHM,Biochemistry,101
2016,LA,"College of Letters, Arts, & Sciences",BHS,Behavioral Science,31
2016,LA,"College of Letters, Arts, & Sciences",BIO,Biology,1233
2016,LA,"College of Letters, Arts, & Sciences",CBS,Certificate-Spanish Basic Comp,1
2016,LA,"College of Letters, Arts, & Sciences",CDES,Communication Design,67
2016,LA,"College of Letters, Arts, & Sciences",CET,Civil Engineering Technology,1
2016,LA,"College of Letters, Arts, & Sciences",CGIS,Certificate-Geographic Info Sy,2
2016,LA,"College of Letters, Arts, & Sciences",CHE,Chemistry,225
2016,LA,"College of Letters, Arts, & Sciences",CHS,Chicano Studies,24
2016,LA,"College of Letters, Arts, & Sciences",CIN,Computer Information Systems,2
2016,LA,"College of Letters, Arts, & Sciences",COMS,Communication Studies,72
2016,HS,College of Health & Applied Science,CS,Computer Science,521
2016,HS,College of Health & Applied Science,CSI,Computer Science,65
2016,LA,"College of Letters, Arts, & Sciences",CSL,Certificate-SpcLangPathlgyAsst,8
2016,LA,"College of Letters, Arts, & Sciences",CSS,Certificate-SLHS-Leveling,8
2016,LA,"College of Letters, Arts, & Sciences",CST,Certificate-Span Transltn Prog,2
2016,LA,"College of Letters, Arts, & Sciences",ENG,English,428
2016,LA,"College of Letters, Arts, & Sciences",ENV,Environmental Science,270
2016,LA,"College of Letters, Arts, & Sciences",FIN,Finance,1
2016,LA,"College of Letters, Arts, & Sciences",GSS,Geospatial Sciences,20
2016,LA,"College of Letters, Arts, & Sciences",HDV,Human Development,283
2016,LA,"College of Letters, Arts, & Sciences",HIS,History,369
2016,LA,"College of Letters, Arts, & Sciences",IDP,Individualized Degree Program,201
2016,LA,"College of Letters, Arts, & Sciences",IDPD,IDP - DIME,44
2016,LA,"College of Letters, Arts, & Sciences",LIN,Linguistics,50
2016,LA,"College of Letters, Arts, & Sciences",LUS,Land Use,84
2016,LA,"College of Letters, Arts, & Sciences",MDL,Modern Languages,133
2016,LA,"College of Letters, Arts, & Sciences",MED,Music Education,93
2016,LA,"College of Letters, Arts, & Sciences",MTH,Mathematics,201
2016,LA,"College of Letters, Arts, & Sciences",MTR,Meteorology,58
2016,LA,"College of Letters, Arts, & Sciences",MUS,Music,184
2016,LA,"College of Letters, Arts, & Sciences",PHI,Philosophy,48
