Major Code,Major Desc,Count,Year
CWE,Certificate-Tech Writng&Editng,0,2001
SLH,Speech Lang & Hearing Science,0,2001
ACCM,Professional Accountancy,0,2001
CSL,Certificate-SpcLangPathlgyAsst,0,2001
CWD,Certificate-WebDeveloprInfoSys,0,2001
TEDM,Teacher Education-MAT,0,2001
WMS,Women's Studies,0,2001
LIN,Linguistics,0,2001
NACM,Non-Degree Prof Accountancy,0,2001
NTEM,Non-Degree Teacher Education,0,2001
SWKM,Social Work-MSW,0,2001
ARTH,"ArtHistory,Theory&Criticism",0,2001
NSWM,Non-Degree Social Work,0,2001
AAM,Aviation & Aerospace Mgt,0,2001
AFS,Africana Studies,0,2001
ASC,Aviation and Aerospace Science,0,2001
CDES,Communication Design,0,2001
CS,Computer Science,0,2001
UNED,"Education, Undeclared",0,2001
BCHM,Biochemistry,0,2001
ELCE,Early Childhood Education,0,2001
IHC,Integrative Health Care,0,2001
EDU,Elementary Education,0,2001
BRWO,Brewery Operations,0,2001
BRWP,Brew Pub Operations,0,2001
CBRW,Certificate-Brewing Science,0,2001
CEM,Certificate-Events Management,0,2001
CEP,Certificate-Entrepreneurship,0,2001
CEVT,Certificate-Event & Meeting Mg,0,2001
CHDS,Certificate-HealthDataScience,0,2001
CHM,Certificate-Hotel Management,0,2001
CISP,Certificate-Indiv Suprvsd Prac,0,2001
CNPS,Certificate-Nonprofit Studies,0,2001
COMS,Communication Studies,0,2001
CRM,Certificate-Restaurant Mgmt,0,2001
CSS,Certificate-SLHS-Leveling,0,2001
CST,Certificate-Span Transltn Prog,0,2001
CWC,Certificate-Wellness Coaching,0,2001
EDPB,SOE Applicant-Post-bac,0,2001
ENT,Entrepreneurship,0,2001
EVTM,Event & Meeting Management,0,2001
GBS,Global Business Studies,0,2001
GSS,Geospatial Sciences,0,2001
HCIS,Health Care Information System,0,2001
IBM,International Business,0,2001
IDPD,IDP-DIME,0,2001
MTHC,Math Masters Courses,0,2001
PACC,Prep Master Accounting,0,2001
PCEP,PCert-Entrepreneurship,0,2001
PSCL,PCert-Speech-Lang Pathlgy Asst,0,2001
PSWK,Prep Master Social Work,0,2001
PTED,Prep Master Teacher Ed,0,2001
UNSW,Undeclared Social Work,0,2001
AMS,Advncd Manufacturing Sciences,0,2001
ARTE,Art Education,0,2001
ATP,Athletic Training,0,2001
BUSM,Business Administration,0,2001
CASS,Certificate-Autsm&SgnftSupNeed,0,2001
CBPO,Craft Brewing & Pub Operations,0,2001
CPE,Computer Engineering,0,2001
CPM,Construction Project Mngmt,0,2001
CSC,Certificate-Space Commercltzn,0,2001
EVE,Environmental Engineering,0,2001
EXS,Exercise Science,0,2001
FERA,Fire & Emergency Response Adm,0,2001
GEG,Geography,0,2001
GELA,Applied Geology,0,2001
GWS,Gndr Women Sexualities Studies,0,2001
HCMM,Health Administration,0,2001
HCPS,Health Care Professional Srvcs,0,2001
HTL,Hotel Management,0,2001
NBSM,Non-Degree Business Admin,0,2001
PCBR,PCert-Brewing Science,0,2001
PCEE,PCert-Electrical EngineerTech,0,2001
PCEV,PCert-Event & Meeting Mgt,0,2001
PCFP,PCert-Personal Financial Plan,0,2001
PCGI,PCert-Geographic Info Systems,0,2001
PCHD,PCert-Health Data Science,0,2001
PCME,PCert-AddManufacturingEngineer,0,2001
PCNP,PCert-Nonprofit Studies,0,2001
PCOR,PCert-Outdoor Rec Leadership,0,2001
PCSA,PCert-Sales,0,2001
PCSS,PCert-SLHS-Leveling,0,2001
PCTM,PCert-Tourism Management,0,2001
PETE,K-12 Physical Education,0,2001
RST,Restaurant Management,0,2001
SM,Sport Management,0,2001
SSE,Sustainable System Engineering,0,2001
TTM,Travel and Tourism Management,0,2001
BJRN,Broadcast Journalism,0,2001
CWS,Certificate-Water Studies,0,2001
CYB,Cybersecurity,0,2001
DANC,Dance,0,2001
PCAM,PCert-Airport Management,0,2001
PCBA,PCert-BilingualEdSpecAgency,0,2001
PCBO,PCert-Brewery Operations,0,2001
PCCT,PCert-Corporate Travel,0,2001
PCHM,PCert-Hotel Management,0,2001
PCRM,PCert-Restaurant Management,0,2001
PCSC,PCert-Space Commercialization,0,2001
PCST,PCert-Spanish Translation Prog,0,2001
PCTR,PCert-Travel Consultant,0,2001
PUND,Prep External,0,2001
UNDM,Pre-DIME,0,2001
UNID,Undeclared IDP,0,2001
BNK,Banking,0,2001
CAME,Certificate-AdditiveMfgEngneer,0,2001
CBO,Certificate-Brewery Operations,0,2001
CHNS,Certificate-Hmn Nutrition Sci,0,2001
CIM,Computer Info Syst & Mgt Sci,0,2001
CSTM,Certificate-STEMpath Cybrscrty,0,2001
CYBM,Cybersecurity-MS,0,2001
EJMP,Extended Journalism&Media Prod,0,2001
HDFS,Human Dev. and Family Studies,0,2001
HNS,Nutrition Science,0,2001
MPL,Media Production & Leadership,0,2001
NUTM,Human Nutrition & Dietetics-MS,0,2001
PCMM,PCert-Adv Comp Matrls & Mfg,0,2001
PCSM,PCert-Engineering Mfg,0,2001
PCUA,PCert-Urban Agriculture,0,2001
PNUT,Prep Master Hmn Nutr & Dietet,0,2001
PR,Public Relations,0,2001
PSYC,Psychology,0,2001
SLHS,"Speech, Lang, Hearing Sciences",0,2001
STA,Statistical Science,0,2001
SV,Sound and Vision,0,2001
SWKO,Social Work,0,2001
SWMO,Social Work-MSW-ONL,0,2001
TWE,Technical Writing & Editing,0,2001
VP,Video Production,0,2001
AAMO,Aviation & Aerospace Mgt-ONL,0,2001
BHAM,Clinical Behavioral Health,0,2001
BIT,Business Intelligence,0,2001
CLEA,Certificate-CyberLeadership,0,2001
CNDI,Certificate-DieteticInternship,0,2001
CSME,Certificate-Engineering Mfg,0,2001
CTRC,Certificate-Travel Consultant,0,2001
ENGO,English-ONL,0,2001
HCMO,Health Care Management-ONL,0,2001
HCPO,Health Care Profess. Srvcs ONL,0,2001
HDFO,Human Dev. & Family Stud.-ONL,0,2001
HLDR,Hospitality Leadership,0,2001
LSM,Lifestyle Medicine,0,2001
MGTO,Management-ONL,0,2001
MKTO,Marketing-ONL,0,2001
NBHM,Non-Degree Clinical Behvrl Hlt,0,2001
PCHY,PCert-High Risk Youth Studies,0,2001
PCIP,PCert-Instructional Technology,0,2001
PCIT,PCert-Instructional Technology,0,2001
UNTH,Undeclared Theatre-BFA,0,2001
0,Non-Degree Seeking,471,2002
AAS,African American Studies,22,2002
ACC,Accounting,578,2002
AMG,Aviation Management,84,2002
ANT,Anthropology,94,2002
ART,Art,690,2002
ATV,Aviation Technology,477,2002
BHS,Behavioral Science,723,2002
BIO,Biology,679,2002
CET,Civil Engineering Technology,118,2002
CFP,Certificate-Persnl Fin Planng,2,2002
CHE,Chemistry,152,2002
CHS,Chicano Studies,25,2002
CIN,Computer Information Systems,825,2002
CJC,Criminal Justice & Criminology,787,2002
CSI,Computer Science,448,2002
ECO,Economics,79,2002
EET,Electrical Engineering Tech,112,2002
ENG,English,562,2002
ENG6,Creative Writing,0,2002
ENV,Environmental Science,107,2002
FIN,Finance,455,2002
HCM,Health Care Management,104,2002
HIS,History,467,2002
HMT,"Hospitality, Meeting & Tvl Adm",153,2002
HPS,Human Performance & Sport,353,2002
HSP,Human Services,277,2002
HSW,Human Services,0,2002
IDP,Individualized Degree Program,131,2002
IND,Industrial Design,131,2002
ITS,Industrial & Technical Studies,4,2002
JRN,Journalism,337,2002
LECE,Licensure-Early Childhood Educ,7,2002
LEDS,Licensure-Secondary Education,47,2002
LEED,Licensure-Elementary Education,90,2002
LES,Leisure Studies,43,2002
LK12,Licensure-K-12 Education,21,2002
LSPL,Licensure-Special Education,28,2002
LTIR,Licensure-Teacher in Residence,205,2002
LTLE,Licensure-General Elementary,0,2002
LTLG,Licensure-General Teacher Lic,49,2002
LUS,Land Use,101,2002
MDL,Modern Languages,217,2002
MED,Music Education,90,2002
MET,Mechanical Engineering Tech,123,2002
MGT,Management,756,2002
MKT,Marketing,557,2002
MTH,Mathematics,165,2002
MTR,Meteorology,46,2002
MUS,Music,152,2002
NUR,Nursing,121,2002
PHI,Philosophy,54,2002
PHY,Physics,39,2002
PSC,Political Science,207,2002
PSY,Psychology,661,2002
SOC,Sociology,116,2002
SPA,Spanish,1,2002
SPC,Speech Communication,344,2002
SUM,Surveying & Mapping,35,2002
SWK,Social Work,200,2002
TCM,Technical Communications,145,2002
TIA,Technical & Industrial Admin,0,2002
TLC,Pre-Early Childhood Education,4,2002
TLE,Pre-Elementary Education,30,2002
TLK,Pre-K-12 Education,9,2002
TLP,Pre-Special Education,13,2002
TLS,Pre-Secondary Education,38,2002
UND,Undeclared,2711,2002
UNN,Undeclared Nursing Interest,0,2002
CBF,Certificate-French Basic Comp,1,2002
CCS,Certificate-Condtiong Speclist,1,2002
CGP,Certificate-Gerontology-PrfSrv,1,2002
HDV,Human Development,10,2002
SED,Special Education,23,2002
CDA,Certificate-Database Speclist,0,2002
CEE,Certificate-Electric Engg Tech,0,2002
CSKD,Certificate-Chld-Adol Mntl Hlt,0,2002
THE,Theatre,0,2002
CBS,Certificate-Spanish Basic Comp,0,2002
CGIS,Certificate-Geographic Info Sy,0,2002
CHY,Certificate-High Risk Youth,0,2002
CMP,Certificate-Multimedia Prodctn,0,2002
CSKA,Certificate-Family Presrv Svcs,0,2002
CSKE,Certificate-Gay-Lesbian Svcs,0,2002
CGTS,Certificate-Geotechnology Syst,0,2002
CSKF,Certificate-Women's Services,0,2002
ITP,Integrative Therapeutic Pract,0,2002
CNS,Certificate-Network Spec in IS,0,2002
HTE,"Hospitality, Tourism & Events",0,2002
RECR,Recreation Professions,0,2002
CSR2,Certificate-Engr/Constr Surv,0,2002
HND,Human Nutrition-Dietetics,0,2002
ATH,Athletic Training,0,2002
CAC,Certificate-Accounting,0,2002
CCP,Certificate-Career&Prsnl Devlt,0,2002
CPD,Certificate-Public Adminstrtn,0,2002
CWE,Certificate-Tech Writng&Editng,0,2002
SLH,Speech Lang & Hearing Science,0,2002
ACCM,Professional Accountancy,0,2002
CSL,Certificate-SpcLangPathlgyAsst,0,2002
CWD,Certificate-WebDeveloprInfoSys,0,2002
TEDM,Teacher Education-MAT,0,2002
WMS,Women's Studies,0,2002
LIN,Linguistics,0,2002
NACM,Non-Degree Prof Accountancy,0,2002
NTEM,Non-Degree Teacher Education,0,2002
SWKM,Social Work-MSW,0,2002
ARTH,"ArtHistory,Theory&Criticism",0,2002
NSWM,Non-Degree Social Work,0,2002
AAM,Aviation & Aerospace Mgt,0,2002
AFS,Africana Studies,0,2002
ASC,Aviation and Aerospace Science,0,2002
CDES,Communication Design,0,2002
CS,Computer Science,0,2002
UNED,"Education, Undeclared",0,2002
BCHM,Biochemistry,0,2002
ELCE,Early Childhood Education,0,2002
IHC,Integrative Health Care,0,2002
EDU,Elementary Education,0,2002
BRWO,Brewery Operations,0,2002
BRWP,Brew Pub Operations,0,2002
CBRW,Certificate-Brewing Science,0,2002
CEM,Certificate-Events Management,0,2002
CEP,Certificate-Entrepreneurship,0,2002
CEVT,Certificate-Event & Meeting Mg,0,2002
CHDS,Certificate-HealthDataScience,0,2002
CHM,Certificate-Hotel Management,0,2002
CISP,Certificate-Indiv Suprvsd Prac,0,2002
CNPS,Certificate-Nonprofit Studies,0,2002
COMS,Communication Studies,0,2002
CRM,Certificate-Restaurant Mgmt,0,2002
CSS,Certificate-SLHS-Leveling,0,2002
CST,Certificate-Span Transltn Prog,0,2002
CWC,Certificate-Wellness Coaching,0,2002
EDPB,SOE Applicant-Post-bac,0,2002
ENT,Entrepreneurship,0,2002
EVTM,Event & Meeting Management,0,2002
GBS,Global Business Studies,0,2002
GSS,Geospatial Sciences,0,2002
HCIS,Health Care Information System,0,2002
IBM,International Business,0,2002
IDPD,IDP-DIME,0,2002
MTHC,Math Masters Courses,0,2002
PACC,Prep Master Accounting,0,2002
PCEP,PCert-Entrepreneurship,0,2002
PSCL,PCert-Speech-Lang Pathlgy Asst,0,2002
PSWK,Prep Master Social Work,0,2002
PTED,Prep Master Teacher Ed,0,2002
UNSW,Undeclared Social Work,0,2002
AMS,Advncd Manufacturing Sciences,0,2002
ARTE,Art Education,0,2002
ATP,Athletic Training,0,2002
BUSM,Business Administration,0,2002
CASS,Certificate-Autsm&SgnftSupNeed,0,2002
CBPO,Craft Brewing & Pub Operations,0,2002
CPE,Computer Engineering,0,2002
CPM,Construction Project Mngmt,0,2002
CSC,Certificate-Space Commercltzn,0,2002
EVE,Environmental Engineering,0,2002
EXS,Exercise Science,0,2002
FERA,Fire & Emergency Response Adm,0,2002
GEG,Geography,0,2002
GELA,Applied Geology,0,2002
GWS,Gndr Women Sexualities Studies,0,2002
HCMM,Health Administration,0,2002
HCPS,Health Care Professional Srvcs,0,2002
HTL,Hotel Management,0,2002
NBSM,Non-Degree Business Admin,0,2002
PCBR,PCert-Brewing Science,0,2002
PCEE,PCert-Electrical EngineerTech,0,2002
PCEV,PCert-Event & Meeting Mgt,0,2002
PCFP,PCert-Personal Financial Plan,0,2002
PCGI,PCert-Geographic Info Systems,0,2002
PCHD,PCert-Health Data Science,0,2002
PCME,PCert-AddManufacturingEngineer,0,2002
PCNP,PCert-Nonprofit Studies,0,2002
PCOR,PCert-Outdoor Rec Leadership,0,2002
PCSA,PCert-Sales,0,2002
PCSS,PCert-SLHS-Leveling,0,2002
PCTM,PCert-Tourism Management,0,2002
PETE,K-12 Physical Education,0,2002
RST,Restaurant Management,0,2002
SM,Sport Management,0,2002
SSE,Sustainable System Engineering,0,2002
TTM,Travel and Tourism Management,0,2002
BJRN,Broadcast Journalism,0,2002
CWS,Certificate-Water Studies,0,2002
CYB,Cybersecurity,0,2002
DANC,Dance,0,2002
PCAM,PCert-Airport Management,0,2002
PCBA,PCert-BilingualEdSpecAgency,0,2002
PCBO,PCert-Brewery Operations,0,2002
PCCT,PCert-Corporate Travel,0,2002
PCHM,PCert-Hotel Management,0,2002
PCRM,PCert-Restaurant Management,0,2002
PCSC,PCert-Space Commercialization,0,2002
PCST,PCert-Spanish Translation Prog,0,2002
PCTR,PCert-Travel Consultant,0,2002
PUND,Prep External,0,2002
UNDM,Pre-DIME,0,2002
UNID,Undeclared IDP,0,2002
BNK,Banking,0,2002
CAME,Certificate-AdditiveMfgEngneer,0,2002
CBO,Certificate-Brewery Operations,0,2002
CHNS,Certificate-Hmn Nutrition Sci,0,2002
CIM,Computer Info Syst & Mgt Sci,0,2002
CSTM,Certificate-STEMpath Cybrscrty,0,2002
CYBM,Cybersecurity-MS,0,2002
EJMP,Extended Journalism&Media Prod,0,2002
HDFS,Human Dev. and Family Studies,0,2002
HNS,Nutrition Science,0,2002
MPL,Media Production & Leadership,0,2002
NUTM,Human Nutrition & Dietetics-MS,0,2002
PCMM,PCert-Adv Comp Matrls & Mfg,0,2002
PCSM,PCert-Engineering Mfg,0,2002
PCUA,PCert-Urban Agriculture,0,2002
PNUT,Prep Master Hmn Nutr & Dietet,0,2002
PR,Public Relations,0,2002
PSYC,Psychology,0,2002
SLHS,"Speech, Lang, Hearing Sciences",0,2002
STA,Statistical Science,0,2002
SV,Sound and Vision,0,2002
SWKO,Social Work,0,2002
SWMO,Social Work-MSW-ONL,0,2002
TWE,Technical Writing & Editing,0,2002
VP,Video Production,0,2002
AAMO,Aviation & Aerospace Mgt-ONL,0,2002
BHAM,Clinical Behavioral Health,0,2002
BIT,Business Intelligence,0,2002
CLEA,Certificate-CyberLeadership,0,2002
CNDI,Certificate-DieteticInternship,0,2002
CSME,Certificate-Engineering Mfg,0,2002
CTRC,Certificate-Travel Consultant,0,2002
ENGO,English-ONL,0,2002
HCMO,Health Care Management-ONL,0,2002
HCPO,Health Care Profess. Srvcs ONL,0,2002
HDFO,Human Dev. & Family Stud.-ONL,0,2002
HLDR,Hospitality Leadership,0,2002
LSM,Lifestyle Medicine,0,2002
MGTO,Management-ONL,0,2002
MKTO,Marketing-ONL,0,2002
NBHM,Non-Degree Clinical Behvrl Hlt,0,2002
PCHY,PCert-High Risk Youth Studies,0,2002
PCIP,PCert-Instructional Technology,0,2002
PCIT,PCert-Instructional Technology,0,2002
UNTH,Undeclared Theatre-BFA,0,2002
0,Non-Degree Seeking,764,2003
AAS,African American Studies,20,2003
ACC,Accounting,698,2003
AMG,Aviation Management,99,2003
ANT,Anthropology,101,2003
ART,Art,816,2003
ATV,Aviation Technology,546,2003
BHS,Behavioral Science,916,2003
BIO,Biology,850,2003
CET,Civil Engineering Technology,148,2003
CFP,Certificate-Persnl Fin Planng,0,2003
CHE,Chemistry,231,2003
CHS,Chicano Studies,24,2003
CIN,Computer Information Systems,749,2003
CJC,Criminal Justice & Criminology,1039,2003
CSI,Computer Science,453,2003
ECO,Economics,92,2003
EET,Electrical Engineering Tech,153,2003
ENG,English,655,2003
ENG6,Creative Writing,0,2003
ENV,Environmental Science,131,2003
FIN,Finance,508,2003
HCM,Health Care Management,157,2003
HIS,History,593,2003
HMT,"Hospitality, Meeting & Tvl Adm",216,2003
HPS,Human Performance & Sport,418,2003
HSP,Human Services,315,2003
HSW,Human Services,0,2003
IDP,Individualized Degree Program,152,2003
IND,Industrial Design,172,2003
ITS,Industrial & Technical Studies,2,2003
JRN,Journalism,392,2003
LECE,Licensure-Early Childhood Educ,8,2003
LEDS,Licensure-Secondary Education,79,2003
LEED,Licensure-Elementary Education,94,2003
LES,Leisure Studies,50,2003
LK12,Licensure-K-12 Education,24,2003
LSPL,Licensure-Special Education,33,2003
LTIR,Licensure-Teacher in Residence,172,2003
LTLE,Licensure-General Elementary,0,2003
LTLG,Licensure-General Teacher Lic,90,2003
LUS,Land Use,116,2003
MDL,Modern Languages,280,2003
MED,Music Education,93,2003
MET,Mechanical Engineering Tech,139,2003
MGT,Management,948,2003
MKT,Marketing,622,2003
MTH,Mathematics,193,2003
MTR,Meteorology,51,2003
MUS,Music,162,2003
NUR,Nursing,183,2003
PHI,Philosophy,69,2003
PHY,Physics,46,2003
PSC,Political Science,288,2003
PSY,Psychology,800,2003
SOC,Sociology,123,2003
SPA,Spanish,0,2003
SPC,Speech Communication,364,2003
SUM,Surveying & Mapping,58,2003
SWK,Social Work,211,2003
TCM,Technical Communications,155,2003
TIA,Technical & Industrial Admin,0,2003
TLC,Pre-Early Childhood Education,11,2003
TLE,Pre-Elementary Education,65,2003
TLK,Pre-K-12 Education,15,2003
TLP,Pre-Special Education,19,2003
TLS,Pre-Secondary Education,62,2003
UND,Undeclared,3113,2003
UNN,Undeclared Nursing Interest,0,2003
CBF,Certificate-French Basic Comp,0,2003
CCS,Certificate-Condtiong Speclist,0,2003
CGP,Certificate-Gerontology-PrfSrv,1,2003
HDV,Human Development,33,2003
SED,Special Education,65,2003
CDA,Certificate-Database Speclist,1,2003
CEE,Certificate-Electric Engg Tech,1,2003
CSKD,Certificate-Chld-Adol Mntl Hlt,1,2003
THE,Theatre,36,2003
CBS,Certificate-Spanish Basic Comp,0,2003
CGIS,Certificate-Geographic Info Sy,0,2003
CHY,Certificate-High Risk Youth,0,2003
CMP,Certificate-Multimedia Prodctn,0,2003
CSKA,Certificate-Family Presrv Svcs,0,2003
CSKE,Certificate-Gay-Lesbian Svcs,0,2003
CGTS,Certificate-Geotechnology Syst,0,2003
CSKF,Certificate-Women's Services,0,2003
ITP,Integrative Therapeutic Pract,0,2003
CNS,Certificate-Network Spec in IS,0,2003
HTE,"Hospitality, Tourism & Events",0,2003
RECR,Recreation Professions,0,2003
CSR2,Certificate-Engr/Constr Surv,0,2003
HND,Human Nutrition-Dietetics,0,2003
ATH,Athletic Training,0,2003
CAC,Certificate-Accounting,0,2003
CCP,Certificate-Career&Prsnl Devlt,0,2003
CPD,Certificate-Public Adminstrtn,0,2003
CWE,Certificate-Tech Writng&Editng,0,2003
SLH,Speech Lang & Hearing Science,0,2003
ACCM,Professional Accountancy,0,2003
CSL,Certificate-SpcLangPathlgyAsst,0,2003
CWD,Certificate-WebDeveloprInfoSys,0,2003
TEDM,Teacher Education-MAT,0,2003
WMS,Women's Studies,0,2003
LIN,Linguistics,0,2003
NACM,Non-Degree Prof Accountancy,0,2003
NTEM,Non-Degree Teacher Education,0,2003
SWKM,Social Work-MSW,0,2003
ARTH,"ArtHistory,Theory&Criticism",0,2003
NSWM,Non-Degree Social Work,0,2003
AAM,Aviation & Aerospace Mgt,0,2003
AFS,Africana Studies,0,2003
ASC,Aviation and Aerospace Science,0,2003
CDES,Communication Design,0,2003
CS,Computer Science,0,2003
UNED,"Education, Undeclared",0,2003
BCHM,Biochemistry,0,2003
ELCE,Early Childhood Education,0,2003
IHC,Integrative Health Care,0,2003
EDU,Elementary Education,0,2003
BRWO,Brewery Operations,0,2003
BRWP,Brew Pub Operations,0,2003
CBRW,Certificate-Brewing Science,0,2003
CEM,Certificate-Events Management,0,2003
CEP,Certificate-Entrepreneurship,0,2003
CEVT,Certificate-Event & Meeting Mg,0,2003
CHDS,Certificate-HealthDataScience,0,2003
CHM,Certificate-Hotel Management,0,2003
CISP,Certificate-Indiv Suprvsd Prac,0,2003
CNPS,Certificate-Nonprofit Studies,0,2003
COMS,Communication Studies,0,2003
CRM,Certificate-Restaurant Mgmt,0,2003
CSS,Certificate-SLHS-Leveling,0,2003
CST,Certificate-Span Transltn Prog,0,2003
CWC,Certificate-Wellness Coaching,0,2003
EDPB,SOE Applicant-Post-bac,0,2003
ENT,Entrepreneurship,0,2003
EVTM,Event & Meeting Management,0,2003
GBS,Global Business Studies,0,2003
GSS,Geospatial Sciences,0,2003
HCIS,Health Care Information System,0,2003
IBM,International Business,0,2003
IDPD,IDP-DIME,0,2003
MTHC,Math Masters Courses,0,2003
PACC,Prep Master Accounting,0,2003
PCEP,PCert-Entrepreneurship,0,2003
PSCL,PCert-Speech-Lang Pathlgy Asst,0,2003
PSWK,Prep Master Social Work,0,2003
PTED,Prep Master Teacher Ed,0,2003
UNSW,Undeclared Social Work,0,2003
AMS,Advncd Manufacturing Sciences,0,2003
ARTE,Art Education,0,2003
ATP,Athletic Training,0,2003
BUSM,Business Administration,0,2003
CASS,Certificate-Autsm&SgnftSupNeed,0,2003
CBPO,Craft Brewing & Pub Operations,0,2003
CPE,Computer Engineering,0,2003
CPM,Construction Project Mngmt,0,2003
CSC,Certificate-Space Commercltzn,0,2003
EVE,Environmental Engineering,0,2003
EXS,Exercise Science,0,2003
FERA,Fire & Emergency Response Adm,0,2003
GEG,Geography,0,2003
GELA,Applied Geology,0,2003
GWS,Gndr Women Sexualities Studies,0,2003
HCMM,Health Administration,0,2003
HCPS,Health Care Professional Srvcs,0,2003
HTL,Hotel Management,0,2003
NBSM,Non-Degree Business Admin,0,2003
PCBR,PCert-Brewing Science,0,2003
PCEE,PCert-Electrical EngineerTech,0,2003
PCEV,PCert-Event & Meeting Mgt,0,2003
PCFP,PCert-Personal Financial Plan,0,2003
PCGI,PCert-Geographic Info Systems,0,2003
PCHD,PCert-Health Data Science,0,2003
PCME,PCert-AddManufacturingEngineer,0,2003
PCNP,PCert-Nonprofit Studies,0,2003
PCOR,PCert-Outdoor Rec Leadership,0,2003
PCSA,PCert-Sales,0,2003
PCSS,PCert-SLHS-Leveling,0,2003
PCTM,PCert-Tourism Management,0,2003
PETE,K-12 Physical Education,0,2003
RST,Restaurant Management,0,2003
SM,Sport Management,0,2003
SSE,Sustainable System Engineering,0,2003
TTM,Travel and Tourism Management,0,2003
BJRN,Broadcast Journalism,0,2003
CWS,Certificate-Water Studies,0,2003
CYB,Cybersecurity,0,2003
DANC,Dance,0,2003
PCAM,PCert-Airport Management,0,2003
PCBA,PCert-BilingualEdSpecAgency,0,2003
PCBO,PCert-Brewery Operations,0,2003
PCCT,PCert-Corporate Travel,0,2003
PCHM,PCert-Hotel Management,0,2003
PCRM,PCert-Restaurant Management,0,2003
PCSC,PCert-Space Commercialization,0,2003
PCST,PCert-Spanish Translation Prog,0,2003
PCTR,PCert-Travel Consultant,0,2003
PUND,Prep External,0,2003
UNDM,Pre-DIME,0,2003
UNID,Undeclared IDP,0,2003
BNK,Banking,0,2003
CAME,Certificate-AdditiveMfgEngneer,0,2003
CBO,Certificate-Brewery Operations,0,2003
CHNS,Certificate-Hmn Nutrition Sci,0,2003
CIM,Computer Info Syst & Mgt Sci,0,2003
